title,company,location,salary_min,salary_max,category,description,created,redirect_url
Pre-Sales Executive-Bengaluru/Gurgaon,BCITS PVT LTD,"Bangalore, Karnataka",,,IT Jobs,"Pre-Sales Executive Utility Digital Transformation Company: BCITS Location: Bengaluru / Gurgaon Experience: 3 – 10 Years Education: B.E. / B.Tech (Electrical, Electronics, CS, or IT) ABOUT BCITS BCITS is a leading provider of utility-focused digital transformation solutions for power, water, and sma",2026-05-21T17:32:46Z,https://www.adzuna.in/land/ad/5736367792?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=6052F4589D7F998D7E73F2AFF1A484E75CFA628A
Travel Consultant,WNS,"Mumbai, Maharashtra",,,Hospitality & Catering Jobs,"WNS is hiring for Travel Process   Role: Travel Consultant  Shift: Rotational shifts including night shifts  Week-offs: 2 rotational week off Key Responsibilities: * To issue air tickets, reservations, reissue, refunds, cancellations, exchanges on Sabre, Amadeus & Farelogix. * To Handle customer int",2026-06-10T18:04:00Z,https://www.adzuna.in/land/ad/5758516149?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=59A2505A269BF5D4057A07164F7CFBA0B00EDB08
SSRS,Tata Consultancy Services,"Bangalore, Karnataka",,,IT Jobs,"Role: Media Engineer (SSRS) Required Technical Skill Set: SSRS Desired Experience Range: 2 - 5 yrs Notice Period: Immediate to 90 Days only Location of Requirement: Bangalore We are currently planning to do a Virtual Interview Job Description: Primary Skills SSRS, SQL or Python or Snowflex What will",2026-06-13T10:54:18Z,https://www.adzuna.in/land/ad/5762139044?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=B730CE285015F46B0D2090DD25871E1B96B818B3
Staff Engineer – Backend,AjnaLens,"Thane, Maharashtra",,,IT Jobs,"Namaskaram! Ajna Lens is looking for a Staff Engineer – Backend to join our Product Engineering team at Thane (Maharashtra – India). This is a high-impact leadership role for an experienced backend engineer who will drive scalable architecture, platform evolution, and engineering excellence for our ",2026-06-14T14:46:04Z,https://www.adzuna.in/land/ad/5763490878?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=AC1AFF327E234B7937585E5C65F8D39225E4F5C2
System Analyst – SCG India,SCG,"New Delhi, Delhi",,,IT Jobs,"About SCG in India SCG is combining industrial expertise with digital innovation in India, ensuring sustainable growth is matched by reliable systems and IT-enabled business solutions . About the Role The System Analyst acts as a bridge between business requirements and IT solutions, ensuring SCG’s ",2025-09-12T19:46:16Z,https://www.adzuna.in/land/ad/5395864796?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=3792906F41FA695C90FCFD651BCA5222C79BDAE0
Field Sales Executive (MBA 2026),IndiaMART InterMESH Limited,"Mumbai, Maharashtra",,,Sales Jobs,Designation: Executive – Client Acquisition Salary: 4.2 LPA – 5 LPA  Incentives Location: Multiple Locations Across India Payroll: Company Payroll Eligibility: below 29 years with up to 3 years of experience Benefits: Weekly Salary and Weekly Incentive Policy Qualifications: MBA 2026 Fresher Or Grad,2026-06-02T16:37:57Z,https://www.adzuna.in/land/ad/5749039593?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=76E88D0E1BA04D9B7517CAFCBB125CDB7CEA7E20
"TCS Is Hiring For Intune, SCCM",Tata Consultancy Services,"Bangalore, Karnataka",,,IT Jobs,"About the Company Location- Bangalore About the Rol eSkill s- EUC, RDS, Intune, SCCM, Application Packaging, Patch Management, Release Management, Desktop support, MS Exchange, MS Defende r E xp- 8- 10 Responsibili tiesMust- Have Strong hands-on experience with Microsoft Intune (MDM & MAM)Proven exp",2026-06-11T21:10:27Z,https://www.adzuna.in/land/ad/5760051536?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=DB9B1BE5F0849E36BAE702875F7A7FB5844C6EA3
Zonal Head - Pioneer Banking,IndusInd Bank,"Chandigarh, India",,,Sales Jobs,"Role Details: Responsible for managing overall P&L of the zone through a team of Regional Heads, Area Managers and Relationship Managers with strong leadership skills and Effective Service orientation. Strong man management skills coupled with Wealth Management expertise. Overall Job Description: De",2026-06-09T18:07:37Z,https://www.adzuna.in/land/ad/5757273323?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=EFECADF4827AE6686FF1515B5FE77863BF21D8D8
Senior Automation Engineer,Empnéo ICT,"Bangalore, Karnataka",,,IT Jobs,"Job Description: We are looking for an experienced and highly motivated Senior Automation Test Engineer/Lead with proven expertise in WebdriverIO / Playwright using JavaScript . You will be responsible for creating scalable automation frameworks, executing tests across web and API layers, and integr",2026-06-05T17:19:45Z,https://www.adzuna.in/land/ad/5753192482?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=ADAAB66D8467E82859D80BC0DF74199B9B662823
Junior Campaign Manager,AsteroidX,"Bangalore, Karnataka",,,"PR, Advertising & Marketing Jobs","About Us: We are a rapidly growing Amazon performance marketing agency dedicated to driving growth for our clients through data-driven and innovative solutions. As part of our commitment to expanding our team, we are looking for a Junior Campaign Manager with a thirst for learning and a passion for ",2026-06-14T14:48:06Z,https://www.adzuna.in/land/ad/5763492505?se=8I7gVo1p8RGHcblSVmFK6Q&utm_medium=api&utm_source=439bd393&v=7826C8F767146EA3EDE74FD0952549609F9D047E
